seed,L,b,device,num_threads,time_median_s,time_iqr_s,dense_inv_time_s,dense_chol_time_s,kappa,forward_normwise,forward_componentwise,forward_worst_block,factorization_residual,selected_inverse_residual,peak_rss_bytes_noisy,precision_name
0,8,8,cpu,1,0.0012456999975256622,3.68249966413714e-05,0.00010089999996125698,9.738999942783266e-05,61.400458468765066,0.009744352929482081,6.413308160824882,0.019029720269545556,7.105427357601002e-15,0.026183841967410526,0,bf16
1,8,8,cpu,1,0.0012647999974433333,3.68999972124584e-05,0.00010140000013052486,9.81399993179366e-05,69.26242841577545,0.016873786390537028,2.7310862581378905,0.03607049935936163,7.105427357601002e-15,0.028346518342824645,0,bf16
2,8,8,cpu,1,0.001262599995243363,3.024999750778079e-05,0.00010172999900532886,9.74599999608472e-05,55.68923582470481,0.014637370461922415,13.581378775969037,0.02562231988171472,7.105427357601002e-15,0.023429240899758064,0,bf16
0,16,8,cpu,1,0.002519249996112194,4.39249852206558e-05,0.0003997199994046241,0.0004321899999922607,69.64154585433623,0.013601644638069668,6.171904411891314,0.025823949152257508,7.105427357601002e-15,0.03981803511263671,0,bf16
1,16,8,cpu,1,0.0025932999997166917,8.99500009836629e-05,0.0004087599998456426,0.0004390500005683862,75.31523450465981,0.011939038295998081,33.54413679820509,0.0223034901809833,7.105427357601002e-15,0.0330652729266272,0,bf16
2,16,8,cpu,1,0.0025986499967984855,6.734999988111667e-05,0.0004015999991679564,0.00043296000076225026,60.89576922159835,0.015434534982152356,56.49433540732193,0.029186076334431987,7.105427357601002e-15,0.03676399315744483,0,bf16
0,32,8,cpu,1,0.005206750000070315,9.302499529439956e-05,0.0021183999997447245,0.002091499998641666,64.19927058954019,0.013182202997571396,169.9231052377439,0.03256280359914829,7.105427357601002e-15,0.04840897821779322,0,bf16
1,32,8,cpu,1,0.005252500006463379,0.00018695000471780077,0.0021305999980540946,0.0021251500002108514,65.70890372330075,0.012637572935836746,22.04309102477002,0.02672743642905854,7.105427357601002e-15,0.03407159127411141,0,bf16
2,32,8,cpu,1,0.005191999996895902,0.00010554999607848004,0.002129549997334834,0.002107849999447353,60.88164066130255,0.011947174035586924,27.854320308560876,0.02966109645025833,1.0658141036401503e-14,0.032014458790750266,0,bf16
0,64,8,cpu,1,0.010262049996526912,0.0001416000050085131,0.01422774999809917,0.013431800005491823,73.67113895414894,0.013426477110198771,42.9043450829908,0.03093703450205108,7.105427357601002e-15,0.03034787534175254,0,bf16
1,64,8,cpu,1,0.010562949995801318,0.0003329250030219555,0.014262750002671964,0.013332100003026426,64.4321649553828,0.013378170167168855,1063.4143347603576,0.033478260381242755,7.105427357601002e-15,0.04165718606405955,0,bf16
2,64,8,cpu,1,0.010477400006493554,0.00028627498977584764,0.01409139999304898,0.012828700004320126,63.79777931833044,0.013096402892740128,177.00256861322012,0.0251349090202572,1.0658141036401503e-14,0.03641489689616195,0,bf16
